cancer,method,class,f1_mean,f1_std,n
coad,none,CMS1,0.844,0.06,5
coad,none,CMS2,0.873,0.015,5
coad,none,CMS3,0.864,0.041,5
coad,none,CMS4,0.846,0.026,5
coad,random,CMS1,0.8,0.0,5
coad,random,CMS2,0.88,0.0,5
coad,random,CMS3,0.833,0.0,5
coad,random,CMS4,0.857,0.0,5
coad,random_tuned,CMS1,0.8,0.0,5
coad,random_tuned,CMS2,0.871,0.021,5
coad,random_tuned,CMS3,0.833,0.0,5
coad,random_tuned,CMS4,0.849,0.017,5
coad,rf_none,CMS1,0.8,0.0,5
coad,rf_none,CMS2,0.895,0.02,5
coad,rf_none,CMS3,0.833,0.0,5
coad,rf_none,CMS4,0.878,0.028,5
coad,rf_smote,CMS1,0.773,0.06,5
coad,rf_smote,CMS2,0.928,0.034,5
coad,rf_smote,CMS3,0.821,0.029,5
coad,rf_smote,CMS4,0.914,0.04,5
coad,smote,CMS1,0.822,0.049,5
coad,smote,CMS2,0.873,0.015,5
coad,smote,CMS3,0.848,0.034,5
coad,smote,CMS4,0.846,0.026,5
coad,smote_tuned,CMS1,0.8,0.0,5
coad,smote_tuned,CMS2,0.887,0.016,5
coad,smote_tuned,CMS3,0.833,0.0,5
coad,smote_tuned,CMS4,0.868,0.023,5
coad,wgan_gp,CMS1,0.844,0.06,5
coad,wgan_gp,CMS2,0.887,0.016,5
coad,wgan_gp,CMS3,0.864,0.041,5
coad,wgan_gp,CMS4,0.868,0.023,5
coad,xgb_none,CMS1,0.8,0.0,5
coad,xgb_none,CMS2,0.88,0.0,5
coad,xgb_none,CMS3,0.727,0.0,5
coad,xgb_none,CMS4,0.909,0.0,5
coad,xgb_smote,CMS1,0.693,0.06,5
coad,xgb_smote,CMS2,0.899,0.035,5
coad,xgb_smote,CMS3,0.667,0.0,5
coad,xgb_smote,CMS4,0.914,0.04,5
prad,adasyn_tuned,ERG,0.959,0.01,5
prad,adasyn_tuned,FOXA1,0.0,0.0,5
prad,adasyn_tuned,Other,0.875,0.018,5
prad,adasyn_tuned,SPOP,0.661,0.147,5
prad,borderline,ERG,0.95,0.011,5
prad,borderline,FOXA1,0.0,0.0,5
prad,borderline,Other,0.85,0.015,5
prad,borderline,SPOP,0.59,0.043,5
prad,borderline_tuned,ERG,0.94,0.022,5
prad,borderline_tuned,FOXA1,0.0,0.0,5
prad,borderline_tuned,Other,0.887,0.023,5
prad,borderline_tuned,SPOP,0.781,0.1,5
prad,cvae,ERG,0.95,0.011,5
prad,cvae,FOXA1,0.0,0.0,5
prad,cvae,Other,0.875,0.032,5
prad,cvae,SPOP,0.655,0.213,5
prad,mixup,ERG,0.94,0.013,5
