cancer,method,n_synth,seed,accuracy,macro_f1,weighted_f1,roc_auc_ovr,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,mmd,correlation_score,training_time_seconds,timestamp
brca,rf_smote,1059,45,0.8108108108108109,0.7554910826301936,0.807218681499142,0.9563294071206642,0.9811320754716981,0.8461538461538461,0.84,0.6101694915254238,0.5,,,1.6048450469970703,2026-05-06T21:18:51
brca,rf_smote,1059,46,0.8040540540540541,0.7519001373452431,0.801212077693653,0.9554348722524286,0.9811320754716981,0.8461538461538461,0.8322147651006712,0.6,0.5,,,1.6083593368530273,2026-05-06T21:18:53
brca,xgb_none,0,42,0.8108108108108109,0.7021465282085143,0.7931878055449955,0.9647914931445772,0.9811320754716981,0.782608695652174,0.8536585365853658,0.56,0.3333333333333333,,,7.1507556438446045,2026-05-06T21:19:01
brca,xgb_none,0,43,0.8108108108108109,0.7021465282085143,0.7931878055449955,0.9647914931445772,0.9811320754716981,0.782608695652174,0.8536585365853658,0.56,0.3333333333333333,,,5.892938137054443,2026-05-06T21:19:08
brca,xgb_none,0,44,0.8108108108108109,0.7021465282085143,0.7931878055449955,0.9647914931445772,0.9811320754716981,0.782608695652174,0.8536585365853658,0.56,0.3333333333333333,,,5.855925798416138,2026-05-06T21:19:15
brca,xgb_none,0,45,0.8108108108108109,0.7021465282085143,0.7931878055449955,0.9647914931445772,0.9811320754716981,0.782608695652174,0.8536585365853658,0.56,0.3333333333333333,,,5.7118494510650635,2026-05-06T21:19:21
brca,xgb_none,0,46,0.8108108108108109,0.7021465282085143,0.7931878055449955,0.9647914931445772,0.9811320754716981,0.782608695652174,0.8536585365853658,0.56,0.3333333333333333,,,5.626236438751221,2026-05-06T21:19:27
brca,xgb_smote,1059,42,0.8581081081081081,0.8265587709105665,0.8538952137552259,0.9538914732262601,0.9811320754716981,0.9166666666666666,0.8774193548387097,0.6909090909090909,0.6666666666666666,,,7.8717429637908936,2026-05-06T21:19:36
brca,xgb_smote,1059,43,0.7972972972972973,0.7312497577647411,0.7926395120346285,0.9428211364957912,0.9811320754716981,0.8,0.8235294117647058,0.6071428571428571,0.4444444444444444,,,8.03065800666809,2026-05-06T21:19:45
brca,xgb_smote,1059,44,0.8243243243243243,0.7581102713622137,0.8124025563537218,0.9582638956754652,0.9629629629629629,0.8,0.8679245283018868,0.5882352941176471,0.5714285714285714,,,7.541609048843384,2026-05-06T21:19:53
